venta_det_id,venta_id,producto_id,cantidad,precio_compra,precio_venta,descuento;;;;;;;;;total;;;;;
42,17,1,3,15,20,3;;42;17;1;3;13;20;3;54;;;;;
43,18,4,2,45,50,2;;43;18;4;2;40;50;2;98;;;;;
44,18,1,1,15,20,0;;44;18;1;1;13;20;0;20;;;;;
45,19,3,1,30,35,0;;45;19;3;1;25;35;0;35;;;;;
46,19,4,2,45,50,2;;46;19;4;2;40;50;2;98;;;;;
47,19,3,5,30,35,10;;47;19;3;5;25;35;10;160;;;;;
48,20,1,5,15,20,5;;48;20;1;5;13;20;5;75;;;;;
49,20,1,5,15,20,5;;49;20;1;5;13;20;5;75;;;;;
50,21,4,1,45,50,0;;50;21;4;1;40;50;0;50;;;;;
51,21,1,3,15,20,6;;51;21;1;3;13;20;6;54;;;;;
52,21,4,1,45,50,0;;52;21;4;1;40;50;0;50;;;;;
53,22,1,3,15,20,6;;53;22;1;3;13;20;6;54;;;;;
54,22,4,1,45,50,0;;54;22;4;1;40;50;0;50;;;;;
55,22,2,3,30,35,6;;55;22;2;3;25;35;6;90;;;;;
56,23,3,1,30,35,0;;56;23;3;1;25;35;0;35;;;;;
57,23,2,1,30,35,0;;57;23;2;1;25;35;0;35;;;;;
58,23,4,3,45,50,6;;58;23;4;3;40;50;6;135;;;;;
59,23,1,1,15,20,0;;59;23;1;1;13;20;0;20;;;;;
60,24,4,1,45,50,0;;60;24;4;1;40;50;0;50;;;;;
61,24,1,1,15,20,0;;61;24;1;1;13;20;0;20;;;;;
62,24,1,2,15,20,2;;62;24;1;2;13;20;2;38;;;;;
63,25,1,1,15,20,0;;63;25;1;1;13;20;0;20;;;;;
64,25,3,1,30,35,0;;64;25;3;1;25;35;0;35;;;;;
65,25,1,2,15,20,2;;65;25;1;2;13;20;2;38;;;;;
66,26,2,1,30,35,0;;66;26;2;1;25;35;0;35;;;;;
67,26,1,1,15,20,0;;67;26;1;1;13;20;0;20;;;;;
68,26,4,2,45,50,2;;68;26;4;2;40;50;2;98;;;;;
69,27,1,1,15,20,0;;69;27;1;1;13;20;0;20;;;;;
70,27,1,1,15,20,0;;70;27;1;1;13;20;0;20;;;;;
71,28,2,1,30,35,0;;71;28;2;1;25;35;0;35;;;;;
72,28,1,1,15,20,0;;72;28;1;1;13;20;0;20;;;;;
73,29,1,1,15,20,0;;73;29;1;1;13;20;0;20;;;;;
74,29,3,1,30,35,0;;74;29;3;1;25;35;0;35;;;;;
75,29,4,1,45,50,0;;75;29;4;1;40;50;0;50;;;;;
76,30,4,5,45,50,10;;76;30;4;5;40;50;10;225;;;;;
77,30,1,5,15,20,5;;77;30;1;5;13;20;5;75;;;;;
78,30,2,3,30,35,6;;78;30;2;3;25;35;6;90;;;;;
79,31,1,1,15,20,0;;79;31;1;1;13;20;0;20;;;;;
80,31,4,1,45,50,0;;80;31;4;1;40;50;0;50;;;;;
81,31,1,1,15,20,0;;81;31;1;1;13;20;0;20;;;;;
82,32,1,5,15,20,5;;82;32;1;5;13;20;5;75;;;;;
83,32,2,1,30,35,0;;83;32;2;1;25;35;0;35;;;;;
84,33,1,10,15,20,10;;84;33;1;10;13;20;10;150;;;;;
85,34,1,10,15,20,10;;85;34;1;10;13;20;10;150;;;;;
86,35,1,1,15,20,0;;86;35;1;1;13;20;0;20;;;;;
87,35,1,3,15,20,6;;87;35;1;3;13;20;6;54;;;;;
88,35,2,1,30,35,0;;88;35;2;1;25;35;0;35;;;;;
89,35,1,1,15,20,0;;89;35;1;1;13;20;0;20;;;;;
90,36,2,1,30,35,0;;90;36;2;1;25;35;0;35;;;;;
91,36,1,1,15,20,0;;91;36;1;1;13;20;0;20;;;;;
92,37,4,1,45,50,0;;92;37;4;1;40;50;0;50;;;;;
93,37,1,1,15,20,0;;93;37;1;1;13;20;0;20;;;;;
94,37,3,1,30,30,0;;94;37;3;1;25;30;0;30;;;;;
95,38,1,1,15,20,0;;95;38;1;1;13;20;0;20;;;;;
96,38,1,10,15,20,10;;96;38;1;10;13;20;10;150;;;;;
97,39,1,1,15,20,0;;97;39;1;1;13;20;0;20;;;;;
98,39,4,2,45,50,2;;98;39;4;2;40;50;2;98;;;;;
99,39,4,1,45,50,0;;99;39;4;1;40;50;0;50;;;;;
100,39,4,1,45,50,0;;100;39;4;1;40;50;0;50;;;;;
101,40,4,1,45,50,0;;101;40;4;1;40;50;0;50;;;;;
102,40,2,1,30,35,0;;102;40;2;1;25;35;0;35;;;;;
103,41,1,1,15,20,0;;103;41;1;1;13;20;0;20;;;;;
104,41,1,3,15,20,6;;104;41;1;3;13;20;6;54;;;;;
105,41,4,1,45,50,0;;105;41;4;1;40;50;0;50;;;;;
106,41,4,1,45,50,0;;106;41;4;1;40;50;0;50;;;;;
107,42,2,1,30,35,0;;107;42;2;1;25;35;0;35;;;;;
108,42,1,1,15,20,0;;108;42;1;1;13;20;0;20;;;;;
109,42,1,1,15,20,0;;109;42;1;1;13;20;0;20;;;;;
110,42,2,1,30,35,0;;110;42;2;1;25;35;0;35;;;;;
111,43,1,10,15,20,10;;111;43;1;10;13;20;10;150;;;;;
112,43,4,5,45,50,10;;112;43;4;5;40;50;10;225;;;;;
113,43,4,1,45,50,0;;113;43;4;1;40;50;0;50;;;;;
114,43,1,2,15,20,2;;114;43;1;2;13;20;2;38;;;;;
115,44,2,1,30,35,0;;115;44;2;1;25;35;0;35;;;;;
116,44,4,3,45,50,6;;116;44;4;3;40;50;6;144;;;;;
117,45,3,10,30,35,15;;117;45;3;10;25;35;15;300;;;;;
118,45,4,1,45,50,0;;118;45;4;1;40;50;0;50;;;;;
119,46,2,10,30,35,15;;119;46;2;10;25;35;15;300;;;;;
120,46,4,1,45,50,0;;120;46;4;1;40;50;0;50;;;;;
121,47,1,2,15,20,2;;121;47;1;2;13;20;2;38;;;;;
122,47,4,1,45,50,0;;122;47;4;1;40;50;0;50;;;;;
123,47,4,1,45,50,0;;123;47;4;1;40;50;0;50;;;;;
124,48,4,1,45,50,0;;124;48;4;1;40;50;0;50;;;;;
125,48,1,10,15,20,10;;125;48;1;10;13;20;10;150;;;;;
126,49,4,3,45,50,6;;126;49;4;3;40;50;6;144;;;;;
127,49,1,5,15,20,5;;127;49;1;5;13;20;5;75;;;;;
128,49,4,1,45,50,0;;128;49;4;1;40;50;0;50;;;;;
129,50,4,2,45,50,2;;129;50;4;2;40;50;2;98;;;;;
130,50,3,1,30,35,0;;130;50;3;1;25;35;0;35;;;;;
131,50,2,3,30,35,6;;131;50;2;3;25;35;6;99;;;;;
132,51,1,2,15,20,2;;132;51;1;2;13;20;2;38;;;;;
133,51,1,1,15,20,0;;133;51;1;1;13;20;0;20;;;;;
134,52,2,1,30,35,0;;134;52;2;1;25;35;0;35;;;;;
135,52,2,1,30,35,0;;135;52;2;1;25;35;0;35;;;;;
136,52,4,1,45,50,0;;136;52;4;1;40;50;0;50;;;;;
137,53,1,1,15,20,0;;137;53;1;1;13;20;0;20;;;;;
138,53,4,1,45,50,0;;138;53;4;1;40;50;0;50;;;;;
139,53,3,3,30,35,6;;139;53;3;3;25;35;6;99;;;;;
140,54,1,2,15,20,2;;140;54;1;2;13;20;2;38;;;;;
141,54,1,3,15,20,6;;141;54;1;3;13;20;6;54;;;;;
142,54,1,2,15,20,2;;142;54;1;2;13;20;2;38;;;;;
143,54,2,3,30,35,6;;143;54;2;3;25;35;6;99;;;;;
144,55,4,3,45,50,6;;144;55;4;3;40;50;6;144;;;;;
145,55,4,1,45,50,0;;145;55;4;1;40;50;0;50;;;;;
146,56,4,10,45,50,20;;146;56;4;10;40;50;20;450;;;;;
147,56,1,1,15,20,0;;147;56;1;1;13;20;0;20;;;Febrero;;
148,57,1,10,15,20,10;;148;57;1;10;13;20;10;185;;;;;
149,57,4,2,45,50,0;;149;57;4;2;40;50;0;100;285;;;;
150,58,3,3,30,35,5;;150;58;3;3;25;35;5;100;;;;;
151,58,2,1,30,35,0;;151;58;2;1;25;35;0;35;;;;;
152,58,4,2,45,50,2;;152;58;4;2;40;50;2;98;233;;;;
153,59,1,1,15,20,0;;153;59;1;1;13;20;0;20;;;;;
154,59,2,2,30,35,0;;154;59;2;2;25;35;0;70;;;;;
155,59,1,1,15,20,0;;155;59;1;1;13;20;0;20;110;;;;
156,60,1,5,15,20,10;;156;60;1;5;13;20;10;90;;;;;
157,60,3,1,30,35,0;;157;60;3;1;25;35;0;35;;;;;
158,60,4,1,45,50,2;;158;60;4;1;40;50;2;48;173;;;;
159,61,4,1,45,50,0;;159;61;4;1;40;50;0;50;;;;;
160,61,4,1,45,50,0;;160;61;4;1;40;50;0;50;100;;;;
161,62,4,1,45,50,0;;161;62;4;1;40;50;0;50;;;;;
162,62,1,2,15,20,0;;162;62;1;2;13;20;0;40;;;;;
163,62,1,1,15,20,0;;163;62;1;1;13;20;0;20;110;;;;
164,63,2,1,30,35,0;;164;63;2;1;25;35;0;35;;;;;
165,63,2,3,30,35,0;;165;63;2;3;25;35;0;105;;;;;
166,63,2,2,30,35,0;;166;63;2;2;25;35;0;70;210;;;;
167,64,1,2,15,20,0;;167;64;1;2;13;20;0;40;;;;;
168,64,3,2,30,35,2;;168;64;3;2;25;35;2;68;108;;;;
169,65,1,1,15,20,0;;169;65;1;1;13;20;0;20;;;;;
170,65,4,1,45,50,2;;170;65;4;1;40;50;2;48;;;;;
171,65,1,2,15,20,0;;171;65;1;2;13;20;0;40;;;;;
172,65,2,1,30,35,0;;172;65;2;1;25;35;0;35;143;;;;
173,66,1,1,15,20,0;;173;66;1;1;13;20;0;20;;;;;
174,66,1,1,15,20,0;;174;66;1;1;13;20;0;20;;;;;
175,66,2,2,30,35,0;;175;66;2;2;25;35;0;70;110;;;;
176,67,3,1,30,35,0;;176;67;3;1;25;35;0;35;;;;;
177,67,4,5,45,50,0;;177;67;4;5;40;50;0;250;285;;;;
178,68,1,6,15,20,0;;178;68;1;6;13;20;0;120;;;;;
179,68,1,2,15,20,0;;179;68;1;2;13;20;0;40;;;;;
180,68,1,1,15,20,0;;180;68;1;1;13;20;0;20;;;;;
181,68,2,1,30,35,2;;181;68;2;1;25;35;2;33;213;;;;
182,69,3,1,30,35,0;;182;69;3;1;25;35;0;35;;;;;
183,69,4,2,45,50,3;;183;69;4;2;40;50;3;97;;;;;
184,69,1,2,15,20,0;;184;69;1;2;13;20;0;40;172;;;;
185,70,2,3,30,35,0;;185;70;2;3;25;35;0;105;;;;;
186,70,4,1,45,50,2;;186;70;4;1;40;50;2;48;153;;;;
187,71,1,1,15,20,0;;187;71;1;1;13;20;0;20;;;;;
188,71,2,2,30,35,0;;188;71;2;2;25;35;0;70;;;;;
189,71,3,1,30,35,0;;189;71;3;1;25;35;0;35;125;;;;
190,72,1,1,15,20,0;;190;72;1;1;13;20;0;20;;;;;
191,72,2,1,30,35,0;;191;72;2;1;25;35;0;35;55;;;;
192,73,4,1,45,50,2;;192;73;4;1;40;50;2;48;;;;;
193,73,2,1,30,35,0;;193;73;2;1;25;35;0;35;83;;;;
194,74,2,1,30,35,0;;194;74;2;1;25;35;0;35;;;;;
195,74,2,10,30,35,35;;195;74;2;10;25;35;35;315;;;;;
196,74,3,1,30,35,0;;196;74;3;1;25;35;0;35;385;;;;
197,75,4,10,45,50,20;;197;75;4;10;40;50;20;480;;;;;
198,75,4,2,45,50,0;;198;75;4;2;40;50;0;100;;;;;
199,75,1,10,15,20,10;;199;75;1;10;13;20;10;190;;;;;
200,75,1,8,15,20,8;;200;75;1;8;13;20;8;152;922;;;;
201,76,1,3,15,20,0;;201;76;1;3;13;20;0;60;;;;;
202,76,1,1,15,20,0;;202;76;1;1;13;20;0;20;;;;;
203,76,1,1,15,20,0;;203;76;1;1;13;20;0;20;;;;;
204,76,4,2,45,50,0;;204;76;4;2;40;50;0;100;200;;;;
205,77,1,1,15,20,0;;205;77;1;1;13;20;0;20;;;;;
206,77,1,1,15,20,0;;206;77;1;1;13;20;0;20;;;;;
207,77,3,1,30,35,0;;207;77;3;1;25;35;0;35;75;;;;
208,78,2,1,30,35,0;;208;78;2;1;25;35;0;35;;;;;
209,78,2,1,30,35,0;;209;78;2;1;25;35;0;35;;;;;
210,78,1,1,15,20,0;;210;78;1;1;13;20;0;20;90;;;;
211,79,4,1,45,50,0;;211;79;4;1;40;50;0;50;;;;;
212,79,1,1,15,20,0;;212;79;1;1;13;20;0;20;;;;;
213,79,2,1,30,35,0;;213;79;2;1;25;35;0;35;105;;;;
214,80,1,1,15,20,0;;214;80;1;1;13;20;0;20;;;;;
215,80,1,1,15,20,0;;215;80;1;1;13;20;0;20;;;;;
216,80,1,1,15,20,0;;216;80;1;1;13;20;0;20;60;;;;
217,81,1,1,15,20,1;;217;81;1;1;13;20;1;19;;;;;
218,81,1,1,15,20,0;;218;81;1;1;13;20;0;20;;;;;
219,81,1,1,15,20,0;;219;81;1;1;13;20;0;20;59;;;;
220,82,4,3,45,50,0;;220;82;4;3;40;50;0;150;;;;;
221,82,1,1,15,20,0;;221;82;1;1;13;20;0;20;;;;;
222,82,3,1,30,35,0;;222;82;3;1;25;35;0;35;205;;;;
223,83,1,10,15,20,10;;223;83;1;10;13;20;10;190;;;;;
224,83,2,1,30,35,0;;224;83;2;1;25;35;0;35;225;;;;
225,84,1,3,15,20,0;;225;84;1;3;13;20;0;60;;;;;
226,84,1,5,15,20,0;;226;84;1;5;13;20;0;100;;;;;
227,84,1,3,15,20,0;;227;84;1;3;13;20;0;60;220;;;;
228,85,1,5,15,20,5;;228;85;1;5;13;20;5;95;;;;;
229,85,3,3,30,35,0;;229;85;3;3;25;35;0;105;;;;;
230,85,2,2,30,35,0;;230;85;2;2;25;35;0;70;270;;;;
231,86,4,2,45,50,0;;231;86;4;2;40;50;0;100;;;;;
232,86,4,1,45,50,0;;232;86;4;1;40;50;0;50;150;;;;
233,87,2,1,30,35,0;;233;87;2;1;25;35;0;35;35;;;;
234,88,4,1,45,50,0;;234;88;4;1;40;50;0;50;;;;;
235,88,1,1,15,20,0;;235;88;1;1;13;20;0;20;70;;;;
236,89,4,1,45,50,0;;236;89;4;1;40;50;0;50;;;;;
237,89,4,2,45,50,0;;237;89;4;2;40;50;0;100;150;;;;
238,90,2,3,30,35,0;;238;90;2;3;25;35;0;105;105;;;;
239,91,2,2,30,35,0;;239;91;2;2;25;35;0;70;70;;;;
240,92,3,2,30,35,0;;240;92;3;2;25;35;0;70;70;;;;
241,93,2,2,30,35,0;;241;93;2;2;25;35;0;70;70;;;;
242,94,3,2,30,35,2;;242;94;3;2;25;35;2;68;68;;;;
243,95,1,10,15,20,10;;243;95;1;10;13;20;10;190;;;;;
244,95,1,3,15,20,0;;244;95;1;3;13;20;0;60;250;;;;
245,96,4,10,45,50,20;;245;96;4;10;40;50;20;480;;;;;
246,96,1,2,15,20,0;;246;96;1;2;13;20;0;40;520;;;;
247,97,3,3,30,35,0;;247;97;3;3;25;35;0;105;105;;;;
248,98,2,3,30,35,0;;248;98;2;3;25;35;0;105;;;;;
249,98,1,2,15,20,0;;249;98;1;2;13;20;0;40;145;;;;
250,99,4,1,45,50,0;;250;99;4;1;40;50;0;50;;;;;
251,99,1,1,15,20,0;;251;99;1;1;13;20;0;20;70;;;;
252,100,2,2,30,35,0;;252;100;2;2;25;35;0;70;70;;;;
253,101,3,4,30,35,4;;253;101;3;4;25;35;4;136;136;;;;
254,102,1,3,15,20,0;;254;102;1;3;13;20;0;60;;;;;
255,102,4,2,45,50,0;;255;102;4;2;40;50;0;100;160;;;;
256,103,1,1,15,20,0;;256;103;1;1;13;20;0;20;;;;;
257,103,1,1,15,20,0;;257;103;1;1;13;20;0;20;40;;;;
258,104,2,1,30,35,0;;258;104;2;1;25;35;0;35;35;;;;
259,105,1,1,15,20,0;;259;105;1;1;13;20;0;20;;;;;
260,105,1,1,15,20,0;;260;105;1;1;13;20;0;20;40;;;;
261,106,4,1,45,50,0;;261;106;4;1;40;50;0;50;;;;;
262,106,3,1,30,35,0;;262;106;3;1;25;35;0;35;85;;;Marzo;
263,107,1,12,15,20,12;;263;107;1;12;13;20;12;228;;;;;
264,107,4,3,45,50,3;;264;107;4;3;40;50;3;147;375;;;;
265,108,1,1,15,20,0;;265;108;1;1;13;20;0;20;;;;;
266,108,1,2,15,20,0;;266;108;1;2;13;20;0;40;60;;;;
267,109,3,1,30,35,0;;267;109;3;1;25;35;0;35;;;;;
268,109,4,1,45,50,0;;268;109;4;1;40;50;0;50;85;;;;
269,110,1,1,15,20,0;;269;110;1;1;13;20;0;20;;;;;
270,110,2,5,30,35,5;;270;110;2;5;25;35;5;170;190;;;;
271,111,1,2,15,20,0;;271;111;1;2;13;20;0;40;40;;;;
272,112,1,2,15,20,0;;272;112;1;2;13;20;0;40;;;;;
273,112,1,3,15,20,0;;273;112;1;3;13;20;0;60;;;;;
274,112,2,1,30,35,0;;274;112;2;1;25;35;0;35;135;;;;
275,113,4,1,45,50,0;;275;113;4;1;40;50;0;50;;;;;
276,113,2,1,30,35,0;;276;113;2;1;25;35;0;35;;;;;
277,113,1,1,15,20,0;;277;113;1;1;13;20;0;20;105;;;;
278,114,1,1,15,20,0;;278;114;1;1;13;20;0;20;;;;;
279,114,1,1,15,20,0;;279;114;1;1;13;20;0;20;40;;;;
280,115,4,1,45,50,0;;280;115;4;1;40;50;0;50;;;;;
281,115,1,5,15,20,5;;281;115;1;5;13;20;5;95;145;;;;
282,116,3,5,30,35,5;;282;116;3;5;25;35;5;170;;;;;
283,116,1,3,15,20,0;;283;116;1;3;13;20;0;60;230;;;;
284,117,2,1,30,35,0;;284;117;2;1;25;35;0;35;;;;;
285,117,2,1,30,35,0;;285;117;2;1;25;35;0;35;70;;;;
286,118,1,1,15,20,0;;286;118;1;1;13;20;0;20;;;;;
287,118,1,1,15,20,0;;287;118;1;1;13;20;0;20;;;;;
288,118,4,6,45,50,6;;288;118;4;6;40;50;6;294;334;;;;
289,119,1,1,15,20,0;;289;119;1;1;13;20;0;20;;;;;
290,119,1,1,15,20,0;;290;119;1;1;13;20;0;20;40;;;;
291,120,3,2,30,35,0;;291;120;3;2;25;35;0;70;;;;;
292,120,4,2,45,50,0;;292;120;4;2;40;50;0;100;170;;;;
293,121,2,1,30,35,0;;293;121;2;1;25;35;0;35;;;;;
294,121,1,1,15,20,0;;294;121;1;1;13;20;0;20;55;;;;
295,122,1,1,15,20,0;;295;122;1;1;13;20;0;20;;;;;
296,122,2,1,30,35,0;;296;122;2;1;25;35;0;35;;;;;
297,122,1,1,15,20,0;;297;122;1;1;13;20;0;20;75;;;;
298,123,2,5,30,35,5;;298;123;2;5;25;35;5;170;;;;;
299,123,1,10,15,20,10;;299;123;1;10;13;20;10;190;;;;;
300,123,4,10,45,50,10;;300;123;4;10;40;50;10;490;850;;;;
301,124,1,5,15,20,5;;301;124;1;5;13;20;5;95;;;;;
302,124,4,10,45,50,10;;302;124;4;10;40;50;10;490;;;;;
303,124,3,2,30,35,0;;303;124;3;2;25;35;0;70;655;;;;
304,125,1,1,15,20,0;;304;125;1;1;13;20;0;20;;;;;
305,125,2,2,30,35,0;;305;125;2;2;25;35;0;70;90;;;;
306,126,1,2,15,20,0;;306;126;1;2;13;20;0;40;;;;;
307,126,4,1,45,50,0;;307;126;4;1;40;50;0;50;;;;;
308,126,1,1,15,20,0;;308;126;1;1;13;20;0;20;110;;;;
309,127,4,1,45,50,0;;309;127;4;1;40;50;0;50;;;;;
310,127,4,1,45,50,0;;310;127;4;1;40;50;0;50;100;;;;
311,128,2,3,30,35,3;;311;128;2;3;25;35;3;102;;;;;
312,128,1,3,15,20,3;;312;128;1;3;13;20;3;57;159;;;;
313,129,2,3,30,35,3;;313;129;2;3;25;35;3;102;;;;;
314,129,4,2,45,50,0;;314;129;4;2;40;50;0;100;202;;;;
315,130,2,1,30,35,0;;315;130;2;1;25;35;0;35;;;;;
316,130,1,1,15,20,0;;316;130;1;1;13;20;0;20;;;;;
317,130,3,1,30,35,0;;317;130;3;1;25;35;0;35;90;;;;
318,131,1,1,15,20,0;;318;131;1;1;13;20;0;20;;;;;
319,131,1,9,15,20,9;;319;131;1;9;13;20;9;171;;;;;
320,131,2,12,30,35,12;;320;131;2;12;25;35;12;408;599;;;;
321,132,1,1,15,20,0;;321;132;1;1;13;20;0;20;;;;;
322,132,1,1,15,20,0;;322;132;1;1;13;20;0;20;;;;;
323,132,4,1,45,50,0;;323;132;4;1;40;50;0;50;90;;;;
324,133,1,10,15,20,10;;324;133;1;10;13;20;10;190;;;;;
325,133,3,1,30,35,0;;325;133;3;1;25;35;0;35;;;;;
326,133,4,1,45,50,0;;326;133;4;1;40;50;0;50;275;;;;
327,134,2,10,30,35,10;;327;134;2;10;25;35;10;340;;;;;
328,134,4,1,45,50,0;;328;134;4;1;40;50;0;50;;;;;
329,134,4,1,45,50,0;;329;134;4;1;40;50;0;50;440;;;;
330,135,4,3,45,50,6;;330;135;4;3;40;50;6;144;;;;;
331,135,2,1,30,35,0;;331;135;2;1;25;35;0;35;;;;;
332,135,3,1,30,35,0;;332;135;3;1;25;35;0;35;214;;;;
333,136,1,3,15,20,3;;333;136;1;3;13;20;3;57;;;;;
334,136,1,10,15,20,10;;334;136;1;10;13;20;10;190;;;;;
335,136,4,3,45,50,0;;335;136;4;3;40;50;0;150;397;;;;
336,137,1,1,15,20,0;;336;137;1;1;13;20;0;20;;;;;
337,137,3,10,30,35,10;;337;137;3;10;25;35;10;340;;;;;
338,137,4,2,45,50,0;;338;137;4;2;40;50;0;100;;;;;
339,137,4,1,45,50,0;;339;137;4;1;40;50;0;50;510;;;;
340,138,2,1,30,35,0;;340;138;2;1;25;35;0;35;;;;;
341,138,4,1,45,50,0;;341;138;4;1;40;50;0;50;;;;;
342,138,1,1,15,20,0;;342;138;1;1;13;20;0;20;105;;;;
343,139,1,3,15,20,3;;343;139;1;3;13;20;3;57;;;;;
344,139,4,1,45,50,0;;344;139;4;1;40;50;0;50;;;;;
345,139,4,2,45,50,0;;345;139;4;2;40;50;0;100;207;;;;
346,140,1,1,15,20,0;;346;140;1;1;13;20;0;20;;;;;
347,140,4,1,45,50,0;;347;140;4;1;40;50;0;50;70;;;;
348,141,1,1,15,20,0;;348;141;1;1;13;20;0;20;;;;;
349,141,1,1,15,20,0;;349;141;1;1;13;20;0;20;;;;;
350,141,1,5,15,20,5;;350;141;1;5;13;20;5;95;135;;;;
351,142,3,3,30,35,0;;351;142;3;3;25;35;0;105;;;;;
352,142,1,10,15,20,10;;352;142;1;10;13;20;10;190;;;;;
353,142,1,10,15,20,10;;353;142;1;10;13;20;10;190;485;;;;
354,143,1,10,15,20,10;;354;143;1;10;13;20;10;190;;;;;
355,143,2,1,30,35,0;;355;143;2;1;25;35;0;35;;;;;
356,143,4,1,45,50,0;;356;143;4;1;40;50;0;50;275;;;;
357,144,4,3,45,50,0;;357;144;4;3;40;50;0;150;;;;;
358,144,2,1,30,35,0;;358;144;2;1;25;35;0;35;;;;;
359,144,1,2,15,20,0;;359;144;1;2;13;20;0;40;225;;;;
360,145,2,3,30,35,6;;360;145;2;3;25;35;6;99;;;;;
361,145,3,2,30,35,0;;361;145;3;2;25;35;0;70;;;;;
362,145,1,1,15,20,0;;362;145;1;1;13;20;0;20;189;;;;
363,146,4,2,45,50,0;;363;146;4;2;40;50;0;100;;;;;
364,146,1,2,15,20,0;;364;146;1;2;13;20;0;40;;;;;
365,146,4,5,45,50,10;;365;146;4;5;40;50;10;240;380;;;;
366,147,4,1,45,50,0;;366;147;4;1;40;50;0;50;;;;;
367,147,1,1,15,20,0;;367;147;1;1;13;20;0;20;70;;;;
368,148,1,1,15,20,0;;368;148;1;1;13;20;0;20;;;;;
369,148,3,1,30,35,0;;369;148;3;1;25;35;0;35;;;;;
370,148,4,2,45,50,0;;370;148;4;2;40;50;0;100;155;;;;
371,149,1,1,15,20,0;;371;149;1;1;13;20;0;20;;;;;
372,149,2,2,30,35,0;;372;149;2;2;25;35;0;70;;;;;
373,149,3,3,30,35,6;;373;149;3;3;25;35;6;99;189;;;;
374,150,2,1,30,35,0;;374;150;2;1;25;35;0;35;;;;;
375,150,1,1,15,20,0;;375;150;1;1;13;20;0;20;;;;;
376,150,1,1,15,20,0;;376;150;1;1;13;20;0;20;75;;;;
377,151,1,1,15,20,0;;377;151;1;1;13;20;0;20;;;;;
378,151,1,1,15,20,0;;378;151;1;1;13;20;0;20;40;;;;
379,152,2,3,30,35,3;;379;152;2;3;25;35;3;102;;;;;
380,152,4,3,45,50,5;;380;152;4;3;40;50;5;145;247;;;;
381,153,1,1,15,20,0;;381;153;1;1;13;20;0;20;;;;;
382,153,4,3,45,50,0;;382;153;4;3;40;50;0;150;170;;;;
